Cidade;Escola;SegmentoRespondente;AnoDaAvaliacao;Questao;Resposta;QuantidadeDeRespostas
MARACAJU;EE MANOEL FERREIRA DE LIMA;Diretores Adjuntos;2018;Formação;Ensino Superior;1
TRÊS LAGOAS;EE PROFESSOR JOÃO MAGIANO PINTO;Pais ou Responsáveis;2018;Idade;25 a 30 anos;19
IGUATEMI;EE PAULO FREIRE;Funcionários Administrativos;2018;Formação;Ensino Superior;5
PONTA PORÃ;EE DR MIGUEL MARCONDES ARMANDO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Babá;1
CAMPO GRANDE;EE PROFª. CLARINDA MENDES DE AQUINO;Funcionários Administrativos;2018;Exerce esta função;De 4 a 6 anos;4
ITAPORÃ;EE ANTÔNIO JOÃO RIBEIRO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Comerciante;3
CAMPO GRANDE;EE PROF. EMYGDIO CAMPOS WIDAL;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;autônoma - vendedora de roupas e cosméticos;1
DOIS IRMÃOS DO BURITI;EE ESTEFANA CENTURION GAMBARRA;Pais ou Responsáveis;2018;Formação;Magistério;8
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Professores;2018;Licenciatura;História;5
IVINHEMA;EE ANGELINA JAIME TEBET;Estudantes;2018;Ano escolar;7º ano do Ensino Fundamental;6
TRÊS LAGOAS;EE AFONSO FRANCISCO XAVIER TRANNIN;Avaliadores externos;2018;Informe sua regional;CRE-12 - Três Lagoas;1
CAMPO GRANDE;EE OLINDA CONCEIÇÃO TEIXEIRA BACHA;Funcionários Administrativos;2018;Idade;41 a 45 anos;1
DOURADOS;EE JOAQUIM VAZ DE OLIVEIRA;Estudantes;2018;Possui livros para pesquisa e leitura na sua casa;Sim;103
PONTA PORÃ;EE DR MIGUEL MARCONDES ARMANDO;Estudantes;2018;Ano escolar;8º ano do Ensino Fundamental;39
MARACAJU;EE MANOEL FERREIRA DE LIMA;Secretários Escolares;2018;Sexo;Feminino;1
CAMPO GRANDE;EE PROFª. CLARINDA MENDES DE AQUINO;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Irmã(o);8
FÁTIMA DO SUL;EE SENADOR FILINTO MULLER;Professores;2018;Licenciatura;Pedagogia;4
CAMPO GRANDE;EE PROFª. CLARINDA MENDES DE AQUINO;Diretores;2018;Sexo;Masculino;1
CAMPO GRANDE;EE JOAQUIM MURTINHO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;autônomo;2
TRÊS LAGOAS;EE EDWARDS CORRÊA E SOUZA;Pais ou Responsáveis;2018;Formação;Especialização (Incompleto);1
CAMPO GRANDE;EE PROFª BRASILINA FERRAZ MANTERO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;controlador de acesso;1
CAMPO GRANDE;EE MANOEL BONIFÁCIO NUNES DA CUNHA;Coordenadores Técnicos;2018;Você se considera;Preto;1
TERENOS;EE ANTÔNIO NOGUEIRA DA FONSECA;Estudantes;2018;Estuda nesta escola;De 6 a 8 anos;14
CAMPO GRANDE;EE MANOEL BONIFÁCIO NUNES DA CUNHA;Diretores;2018;Formação;Ensino Superior;1
AQUIDAUANA;EE CÂNDIDO MARIANO;Coordenadores Pedagógicos;2018;Exerce esta função;De 1 a 3 anos;1
PARANAÍBA;EE WLADISLAU GARCIA GOMES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;zeladora;1
CAMPO GRANDE;EE JOSÉ MARIA HUGO RODRIGUES;Pais ou Responsáveis;2018;Tempo que disponibiliza por dia para estudar com o estudante pelo qual você é responsável;De 2 a 3 horas;30
MARACAJU;EE PADRE CONSTANTINO DE MONTE;Professores;2018;Licenciatura;Educação Física;1
CAMPO GRANDE;EE ARLINDO DE ANDRADE GOMES;Funcionários Administrativos;2018;Trabalha nesta escola;De 1 a 3 anos;8
COSTA RICA;EE JOSÉ FERREIRA DA COSTA;Funcionários Administrativos;2018;Trabalha nesta escola;De 1 a 3 anos;2
BRASILÂNDIA;EE ADILSON ALVES DA SILVA;Professores;2018;Trabalha nesta escola;Há mais de 6 anos;31
CAMPO GRANDE;EE PROF. SEVERINO DE QUEIROZ;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Enteado(a);1
APARECIDA DO TABOADO;EE ERNESTO RODRIGUES;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Filho(a);195
NOVA ALVORADA DO SUL;EE ANTONIO COELHO;Pais ou Responsáveis;2018;Tempo que o estudante pelo qual você é responsável  estuda nesta escola;Há mais de 8 anos;29
CASSILÂNDIA;EE SÃO JOSÉ;Professores;2018;Formação;Ensino Médio;1
CAMPO GRANDE;EE VESPASIANO MARTINS;Coordenadores Pedagógicos;2018;Licenciatura;Ciências Biológicas;1
CORUMBÁ;EE CARLOS DE CASTRO BRASIL;Coordenadores Pedagógicos;2018;Idade;46 a 50 anos;2
PONTA PORÃ;EE MENDES GONÇALVES;Coordenadores Pedagógicos;2018;Graduação;Licenciatura;4
NIOAQUE;EE UIRAPURU;Diretores;2018;Graduação;Licenciatura;1
TRÊS LAGOAS;EE PROF. LUIZ LOPES DE CARVALHO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;eletricista;2
CAMPO GRANDE;EE ELVIRA MATHIAS DE OLIVEIRA;Professores;2018;Você leciona em;Uma escola;19
MARACAJU;EE PADRE CONSTANTINO DE MONTE;Funcionários Administrativos;2018;Trabalha nesta escola;Há mais de 6 anos;9
CAARAPÓ;EE ARCÊNIO ROJAS;Estudantes;2018;Você se considera;Preto;13
CASSILÂNDIA;EE HERMELINA BARBOSA LEAL;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;radialista;1
CAMPO GRANDE;EE VESPASIANO MARTINS;Diretores;2018;Pós-Graduação;Não possui;1
RIO VERDE DE MATO GROSSO;EE THOMAZ BARBOSA RANGEL;Estudantes;2018;Ano escolar;6º ano do Ensino Fundamental;33
NAVIRAÍ;EE JURACY ALVES CARDOSO;Estudantes;2018;Estuda nesta escola;Há mais de 8 anos;14
CAARAPÓ;EE TENENTE AVIADOR ANTÔNIO JOÃO;Professores;2018;Graduação;Licenciatura;32
ANGÉLICA;EE DR. JOSÉ MANOEL FONTANILLAS FRAGELLI;Professores;2018;Licenciatura;Geografia;2
NIOAQUE;EE INDÍGENA DE ENSINO MÉDIO ANGELINA VICENTE;Professores;2018;Licenciatura;Normal Superior;1
CAMPO GRANDE;CEI JOSÉ EDUARDO MARTINS JALLAD - ZEDU;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Servidor Público Estadual;2
NOVA ANDRADINA;EE AUSTRILIO CAPILÉ CASTRO;Professores;2018;Pós-Graduação;Especialização (Incompleto);3
PONTA PORÃ;EE DR MIGUEL MARCONDES ARMANDO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Radialista;1
MUNDO NOVO;EE PROFESSORA IOLANDA ALLY;Secretários Escolares;2018;Formação;Ensino Superior;1
DOURADOS;EE RITA ANGELINA BARBOSA SILVEIRA;Professores;2018;Pós-Graduação;Não possui;7
DOURADOS;EE PASTOR DANIEL BERG;Coordenadores Pedagógicos;2018;Pós-Graduação;Especialização;1
CAMPO GRANDE;EE PROF. HENRIQUE CIRYLLO CORREA;Funcionários Administrativos;2018;Trabalha nesta escola;De 4 a 6 anos;3
TRÊS LAGOAS;EE EDWARDS CORRÊA E SOUZA;Pais ou Responsáveis;2018;Formação;Especialização;3
ANGÉLICA;EE DR. JOSÉ MANOEL FONTANILLAS FRAGELLI;Pais ou Responsáveis;2018;Idade;36 a 40 anos;32
CAMPO GRANDE;EE PROFª. ÉLIA FRANÇA CARDOSO;Avaliadores externos;2018;Licenciatura;História;1
NAVIRAÍ;EE JURACY ALVES CARDOSO;Secretários Escolares;2018;Você se considera;Pardo;1
FÁTIMA DO SUL;EE VILA BRASIL;Pais ou Responsáveis;2018;Idade;25 a 30 anos;3
ANAURILÂNDIA;EE MARIA JOSÉ;Diretores;2018;Você se considera;Pardo;1
MIRANDA;EE INDÍGENA PROFESSOR ATANÁSIO ALVES;Professores;2018;Formação;Ensino Superior;9
MARACAJU;EE CORONEL LIMA DE FIGUEIREDO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;motorista;3
BONITO;EE BONIFÁCIO CAMARGO GOMES;Estudantes;2018;Ano escolar;6º ano do Ensino Fundamental;35
TRÊS LAGOAS;EE PROF. LUIZ LOPES DE CARVALHO;Funcionários Administrativos;2018;Idade;46 a 50 anos;1
MUNDO NOVO;EE PROFESSORA IOLANDA ALLY;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;diarista;1
GLÓRIA DE DOURADOS;EE PROFESSORA EUFROSINA PINTO;Professores;2018;Idade;36 a 40 anos;4
DOURADOS;EE PROFª FLORIANA LOPES;Pais ou Responsáveis;2018;Tempo que o estudante pelo qual você é responsável  estuda nesta escola;Há mais de 8 anos;8
SIDROLÂNDIA;EE KOPENOTI DE EM PROF. LÚCIO DIAS;Professores;2018;Licenciatura;História;1
BONITO;EE BONIFÁCIO CAMARGO GOMES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Atendente de caixa;1
MIRANDA;EE INDÍGENA CACIQUE TIMÓTEO;Pais ou Responsáveis;2018;Tempo que disponibiliza por dia para estudar com o estudante pelo qual você é responsável;De 2 a 3 horas;3
PARANAÍBA;EE ARACILDA CÍCERO CORRÊA DA COSTA;Professores;2018;Informe a licenciatura;Inglês;1
CAMPO GRANDE;EE JOSÉ MARIA HUGO RODRIGUES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Caseira;1
PARANAÍBA;EE JOSÉ GARCIA LEAL;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;pintor (autonomo);1
DOURADOS;EE PROF. JOSÉ PEREIRA LINS;Estudantes;2018;Escolheu este curso da Educação Profissional;Para aperfeiçoamento profissional;3
CAMPO GRANDE;EE PÓLO PROFª. REGINA LÚCIA ANFFE NUNES BETINE;Professores;2018;Você se considera;Preto;4
CAMPO GRANDE;EE WALDEMIR BARROS DA SILVA;Pais ou Responsáveis;2018;Idade;46 a 50 anos;14
TRÊS LAGOAS;EE AFONSO FRANCISCO XAVIER TRANNIN;Professores;2018;Idade;41 a 45 anos;5
SANTA RITA DO PARDO;EE JOSÉ FERREIRA LIMA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;professora municipal;1
BATAGUASSU;EE PROFESSOR BRAZ SINIGÁGLIA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;artesã;1
NAVIRAÍ;EE JURACY ALVES CARDOSO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;cobrador;1
CAMPO GRANDE;EE LUISA VIDAL BORGES DANIEL;Estudantes;2018;Ano escolar;8º ano do Ensino Fundamental;15
DOURADOS;EE PROF. CELSO MULLER DO AMARAL;Diretores;2018;Idade;Mais de 50 anos;1
DOIS IRMÃOS DO BURITI;EE ESTEFANA CENTURION GAMBARRA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;professora;7
SIDROLÂNDIA;EE KOPENOTI DE EM PROF. LÚCIO DIAS;Professores;2018;Exerce esta função;Há menos de um ano;2
NIOAQUE;EE UIRAPURU;Pais ou Responsáveis;2018;Idade;46 a 50 anos;5
PARANAÍBA;EE MANOEL GARCIA LEAL;Estudantes;2018;Ano escolar;7º ano do Ensino Fundamental;3
CAMPO GRANDE;EE LINO VILLACHA;Coordenadores Técnicos;2018;Exerce esta função;De 4 a 6 anos;1
CHAPADÃO DO SUL;EE JORGE AMADO;Pais ou Responsáveis;2018;Formação;Ensino Superior;12
CAMPO GRANDE;EE JOÃO CARLOS FLORES;Diretores Adjuntos;2018;Pós-Graduação;Especialização;1
MARACAJU;EE MANOEL FERREIRA DE LIMA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;conselheiro tutelar;1
LADÁRIO;EE 2 DE SETEMBRO;Professores;2018;Licenciatura;Ciências Biológicas;4
DOIS IRMÃOS DO BURITI;EE ESTEFANA CENTURION GAMBARRA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Professor;2
IGUATEMI;EE 8 DE MAIO;Funcionários Administrativos;2018;Formação;Ensino Superior;7
CAMPO GRANDE;EE LUISA VIDAL BORGES DANIEL;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;serviços gerais;1
BRASILÂNDIA;EE ADILSON ALVES DA SILVA;Funcionários Administrativos;2018;Exerce esta função;De 1 a 3 anos;4
IGUATEMI;EE 8 DE MAIO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;dessossadora;1
NIOAQUE;EE INDÍGENA DE ENSINO MÉDIO ANGELINA VICENTE;Pais ou Responsáveis;2018;Formação;Especialização;3
FÁTIMA DO SUL;EE VILA BRASIL;Funcionários Administrativos;2018;Sexo;Masculino;2
SANTA RITA DO PARDO;EE JOSÉ FERREIRA LIMA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Auxiliar administrativo;1
APARECIDA DO TABOADO;EE FREI VITAL DE GARIBALDI;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agente de merenda;5
DOURADOS;CEEJA DE DOURADOS/ MS;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agentes de atividades educacionais;2
DOURADOS;EE MENODORA FIALHO DE FIGUEIREDO;Pais ou Responsáveis;2018;Tempo que disponibiliza por dia para estudar com o estudante pelo qual você é responsável;De 1 a 2 horas;141
DOURADOS;EE PROF. CELSO MULLER DO AMARAL;Professores;2018;Exerce esta função;Há mais de 6 anos;41
CAMPO GRANDE;EE PÓLO PROFª. REGINA LÚCIA ANFFE NUNES BETINE;Funcionários Administrativos;2018;Sexo;Feminino;3
TRÊS LAGOAS;EE PROF. LUIZ LOPES DE CARVALHO;Professores;2018;Você se considera;Amarelo;3
NOVA ANDRADINA;EE PROFESSORA FÁTIMA GAIOTTO SAMPAIO;Professores;2018;Pós-Graduação;Mestrado;5
DOURADOS;EE PROF. ALICIO ARAUJO;Pais ou Responsáveis;2018;Tempo que disponibiliza por dia para estudar com o estudante pelo qual você é responsável;De 3 a 4 horas;8
CAMPO GRANDE;EE WALDEMIR BARROS DA SILVA;Avaliadores externos;2018;Pós-Graduação;Especialização;1
ANGÉLICA;EE DR. JOSÉ MANOEL FONTANILLAS FRAGELLI;Funcionários Administrativos;2018;Idade;46 a 50 anos;5
TRÊS LAGOAS;EE EDWARDS CORRÊA E SOUZA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;aposentado;1
CAMPO GRANDE;EE HÉRCULES MAYMONE;Professores;2018;Idade;25 a 30 anos;14
NAVIRAÍ;EE ANTONIO FERNANDES;Professores;2018;Idade;36 a 40 anos;13
CAMPO GRANDE;EE PROFª JOELINA DE ALMEIDA XAVIER;Funcionários Administrativos;2018;Idade;46 a 50 anos;4
ÁGUA CLARA;EE CHICO MENDES;Pais ou Responsáveis;2018;Idade;41 a 45 anos;10
INOCÊNCIA;EE  PROF. JOÃO PEREIRA VALIM;Professores;2018;Idade;31 a 35 anos;11
ITAPORÃ;EE ANTÔNIO JOÃO RIBEIRO;Estudantes;2018;Ano escolar;6º ano do Ensino Fundamental;37
FÁTIMA DO SUL;EE VILA BRASIL;Professores;2018;Você leciona em;Três escolas;10
CAMPO GRANDE;EE PROFª. FLAVINA MARIA DA SILVA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;professora;3
PEDRO GOMES;EE FRANCISCO RIBEIRO SOARES;Pais ou Responsáveis;2018;Formação;Ensino Médio;47
CAMPO GRANDE;CEEJA - PROFª IGNÊS DE LAMÔNICA GUIMARÃES - MS;Professores;2018;Pós-Graduação;Especialização (Incompleto);6
PARANAÍBA;EE JOSÉ GARCIA LEAL;Coordenadores Pedagógicos;2018;Trabalha nesta escola;Há mais de 6 anos;4
CAMPO GRANDE;EE PROF. OTAVIANO GONÇALVES DA SILVEIRA JUNIOR;Pais ou Responsáveis;2018;Idade;31 a 35 anos;30
NOVA ANDRADINA;EE AUSTRILIO CAPILÉ CASTRO;Pais ou Responsáveis;2018;Formação;Ensino Médio;8
DOIS IRMÃOS DO BURITI;EE ESTEFANA CENTURION GAMBARRA;Professores;2018;Licenciatura;Geografia;4
ÁGUA CLARA;EE CHICO MENDES;Avaliadores externos;2018;Exerce esta função;De 4 a 6 anos;1
CAMPO GRANDE;EE JOSÉ MARIA HUGO RODRIGUES;Professores;2018;Você se considera;Pardo;43
DOURADOS;EE MENODORA FIALHO DE FIGUEIREDO;Professores;2018;Graduação;Licenciatura;65
AQUIDAUANA;EE CEL. JOSÉ ALVES RIBEIRO;Professores;2018;Informe o bacharelado;Comunicação Social - Jornalismo;1
IGUATEMI;EE 8 DE MAIO;Estudantes;2018;Sexo;Feminino;129
GLÓRIA DE DOURADOS;EE PROFESSORA EUFROSINA PINTO;Pais ou Responsáveis;2018;Idade;Mais de 50 anos;4
CAMPO GRANDE;EE MAESTRO FREDERICO LIEBERMANN;Diretores;2018;Idade;Mais de 50 anos;1
CAARAPÓ;EE PROF.ª CLEUZA APARECIDA VARGAS GALHARDO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;advogada;3
CAMPO GRANDE;EE PROFª. CLARINDA MENDES DE AQUINO;Funcionários Administrativos;2018;Idade;31 a 35 anos;1
TRÊS LAGOAS;EE EDWARDS CORRÊA E SOUZA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;enfermeira;2
CAMPO GRANDE;CEEJA - PROFª IGNÊS DE LAMÔNICA GUIMARÃES - MS;Estudantes;2018;Você se considera;Amarelo;11
NOVA ALVORADA DO SUL;EE ANTONIO COELHO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;professor;1
CAMPO GRANDE;EE ELVIRA MATHIAS DE OLIVEIRA;Professores;2018;Trabalha nesta escola;De 4 a 6 anos;10
SÃO GABRIEL DO OESTE;EE SÃO GABRIEL;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Motorista;1
NOVA ANDRADINA;EE PROFESSORA FÁTIMA GAIOTTO SAMPAIO;Funcionários Administrativos;2018;Formação;Ensino Superior (Incompleto);1
ANASTÁCIO;EE MARIA CORRÊA DIAS;Pais ou Responsáveis;2018;Idade;Menos de 25 anos;9
BONITO;EE BONIFÁCIO CAMARGO GOMES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;lider natura;1
GLÓRIA DE DOURADOS;EE PROFESSORA EUFROSINA PINTO;Avaliadores externos;2018;Informe sua regional;CRE-05 - Dourados;1
NAVIRAÍ;EE ANTONIO FERNANDES;Estudantes;2018;Possui livros para pesquisa e leitura na sua casa;Sim;161
FÁTIMA DO SUL;EE SENADOR FILINTO MULLER;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Servente de limpeza;1
CAMPO GRANDE;EE JOAQUIM MURTINHO;Professores;2018;Pós-Graduação;Especialização;35
CAMPO GRANDE;EE RUI BARBOSA;Estudantes;2018;Você se considera;Branco;96
SIDROLÂNDIA;EE PROFESSORA CATARINA DE ABREU;Diretores Adjuntos;2018;Idade;41 a 45 anos;1
CAMPO GRANDE;EE DOLOR FERREIRA DE ANDRADE;Funcionários Administrativos;2018;Sexo;Masculino;3
BRASILÂNDIA;EE ADILSON ALVES DA SILVA;Coordenadores Pedagógicos;2018;Sexo;Feminino;6
CAMPO GRANDE;EE CORAÇÃO DE MARIA;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agente de recepção e portaria;2
CORUMBÁ;EE ROTARY CLUB;Coordenadores Pedagógicos;2018;Exerce esta função;Há mais de 6 anos;1
PARANAÍBA;EE ARACILDA CÍCERO CORRÊA DA COSTA;Avaliadores externos;2018;Graduação;Licenciatura;1
CAMPO GRANDE;EE ARLINDO DE ANDRADE GOMES;Funcionários Administrativos;2018;Exerce esta função;Há mais de 6 anos;18
CAMPO GRANDE;EE JOSÉ MARIA HUGO RODRIGUES;Professores;2018;Trabalha nesta escola;Há menos de um ano;36
CAARAPÓ;EE PROF. JOAQUIM ALFREDO SOARES VIANNA;Professores;2018;Pós-Graduação;Especialização;31
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Coordenadores Pedagógicos;2018;Trabalha nesta escola;Há mais de 6 anos;2
AQUIDAUANA;EE CEL. JOSÉ ALVES RIBEIRO;Professores;2018;Pós-Graduação;Especialização;49
DOURADOS;EE RAMONA DA SILVA PEDROSO;Pais ou Responsáveis;2018;Idade;41 a 45 anos;21
PARANAÍBA;EE MANOEL GARCIA LEAL;Pais ou Responsáveis;2018;Exerce alguma atividade remunerada;Sim;70
APARECIDA DO TABOADO;EE ERNESTO RODRIGUES;Coordenadores Pedagógicos;2018;Exerce esta função;Há mais de 6 anos;2
NAVIRAÍ;EE VINÍCIUS DE MORAES;Estudantes;2018;Ano escolar;3º ano do Ensino Médio;5
CAARAPÓ;EE TENENTE AVIADOR ANTÔNIO JOÃO;Estudantes;2018;Estuda nesta escola;Há menos de um ano;2
PONTA PORÃ;EE MENDES GONÇALVES;Professores;2018;Pós-Graduação;Especialização;33
ANASTÁCIO;EE ROBERTO SCAFF;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;diarista;1
MIRANDA;EE CAETANO PINTO;Pais ou Responsáveis;2018;Formação;Ensino Médio;39
CAARAPÓ;EE PROF.ª CLEUZA APARECIDA VARGAS GALHARDO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Arquiteta;1
ITAPORÃ;EE ANTÔNIO JOÃO RIBEIRO;Professores;2018;Licenciatura;Sociologia;1
CAMPO GRANDE;EE HÉRCULES MAYMONE;Coordenadores Técnicos;2018;Trabalha nesta escola;De 1 a 3 anos;3
ANASTÁCIO;EE DEP. CARLOS SOUZA MEDEIROS;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Neto(a);14
DOURADOS;EE PROF. CELSO MULLER DO AMARAL;Pais ou Responsáveis;2018;Tempo que disponibiliza por dia para estudar com o estudante pelo qual você é responsável;De 2 a 3 horas;11
CAMPO GRANDE;EE DOLOR FERREIRA DE ANDRADE;Pais ou Responsáveis;2018;Sexo;Feminino;79
CAMPO GRANDE;EE PROF. OTAVIANO GONÇALVES DA SILVEIRA JUNIOR;Estudantes;2018;Sexo;Masculino;46
PARANAÍBA;EE JOSÉ GARCIA LEAL;Estudantes;2018;Estuda nesta escola;De 6 a 8 anos;49
TRÊS LAGOAS;EE PROFESSOR JOÃO MAGIANO PINTO;Diretores;2018;Idade;36 a 40 anos;1
CAMPO GRANDE;EE MAESTRO FREDERICO LIEBERMANN;Funcionários Administrativos;2018;Formação;Especialização;2
CORUMBÁ;EE INDÍGENA JOÃO QUIRINO DE CARVALHO - TOGHOPANÃA;Secretários Escolares;2018;Trabalha nesta escola;De 1 a 3 anos;1
SELVÍRIA;EE ANA MARIA DE SOUZA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;empregada domestica;1
ANGÉLICA;EE DR. JOSÉ MANOEL FONTANILLAS FRAGELLI;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;cuidadora;1
CAMPO GRANDE;EE NICOLAU FRAGELLI;Pais ou Responsáveis;2018;Formação;Ensino Médio;24
CAMPO GRANDE;EE LINO VILLACHA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;enfermeiro;1
DOURADOS;EE RITA ANGELINA BARBOSA SILVEIRA;Professores;2018;Sexo;Masculino;8
LADÁRIO;EE 2 DE SETEMBRO;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Outros;1
ÁGUA CLARA;EE CHICO MENDES;Avaliadores externos;2018;Você se considera;Amarelo;1
SÃO GABRIEL DO OESTE;EE SÃO GABRIEL;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;assistente social;1
TRÊS LAGOAS;EE JOSÉ FERREIRA;Professores;2018;Você se considera;Branco;9
CAMPO GRANDE;EE JOAQUIM MURTINHO;Funcionários Administrativos;2018;Formação;Magistério;2
APARECIDA DO TABOADO;EE GEORGINA DE OLIVEIRA ROCHA;Funcionários Administrativos;2018;Formação;Ensino Superior (Incompleto);1
SANTA RITA DO PARDO;EE JOSÉ FERREIRA LIMA;Estudantes;2018;Possui computador em casa;Não;51
IVINHEMA;EE REYNALDO MASSI;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;finaceiro da loja;1
CAMPO GRANDE;EE PROFª ALICE NUNES ZAMPIERE;Estudantes;2018;Estuda nesta escola;Há menos de um ano;94
ANASTÁCIO;EE ROBERTO SCAFF;Avaliadores externos;2018;Exerce esta função;De 1 a 3 anos;1
CAMPO GRANDE;EE ARLINDO DE ANDRADE GOMES;Professores;2018;Idade;25 a 30 anos;11
RIO BRILHANTE;EE FERNANDO CORRÊA DA COSTA;Estudantes;2018;Sexo;Feminino;271
MARACAJU;EE PADRE CONSTANTINO DE MONTE;Professores;2018;Formação;Ensino Superior;17
CAMPO GRANDE;EE GENERAL MALAN;Pais ou Responsáveis;2018;Tempo que o estudante pelo qual você é responsável  estuda nesta escola;De 2 a 4 anos;20
DOURADOS;EE PROF. CELSO MULLER DO AMARAL;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;eletricista;3
SÃO GABRIEL DO OESTE;EE SÃO GABRIEL;Coordenadores Técnicos;2018;Informe o bacharelado;Engenharia agronomica;1
CAMPO GRANDE;EE JOSÉ MARIA HUGO RODRIGUES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;empresário;1
CAMPO GRANDE;EE JOÃO CARLOS FLORES;Avaliadores externos;2018;Sexo;Feminino;1
RIO BRILHANTE;EE FERNANDO CORRÊA DA COSTA;Professores;2018;Licenciatura;Pedagogia;4
VICENTINA;EE PADRE JOSÉ DANIEL;Estudantes;2018;Você se considera;Pardo;88
CAARAPÓ;EE PROF.ª CLEUZA APARECIDA VARGAS GALHARDO;Professores;2018;Você se considera;Amarelo;1
TRÊS LAGOAS;EE JOÃO DANTAS FILGUEIRAS;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Filho(a);95
TRÊS LAGOAS;EE PADRE JOÃO TOMES;Funcionários Administrativos;2018;Sexo;Feminino;15
DOURADOS;EE ROTARY DR. NELSON DE ARAÚJO;Funcionários Administrativos;2018;Trabalha nesta escola;Há mais de 6 anos;1
AQUIDAUANA;EE CEL. JOSÉ ALVES RIBEIRO;Coordenadores Técnicos;2018;Idade;Mais de 50 anos;2
DOURADOS;EE MENODORA FIALHO DE FIGUEIREDO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;mecanico;3
MARACAJU;EE MANOEL FERREIRA DE LIMA;Secretários Escolares;2018;Exerce esta função;Há mais de 6 anos;1
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Pais ou Responsáveis;2018;Exerce alguma atividade remunerada;Sim;43
INOCÊNCIA;EE  PROF. JOÃO PEREIRA VALIM;Avaliadores externos;2018;Licenciatura;Letras;1
MARACAJU;EE PADRE CONSTANTINO DE MONTE;Professores;2018;Você se considera;Branco;12
GLÓRIA DE DOURADOS;EE HILDA BERGO DUARTE;Estudantes;2018;Ano escolar;3º ano do Ensino Médio;16
ANASTÁCIO;EE ROBERTO SCAFF;Estudantes;2018;Ano escolar;8º ano do Ensino Fundamental;15
PARANAÍBA;EE ARACILDA CÍCERO CORRÊA DA COSTA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Agente de Merenda;2
AQUIDAUANA;EE CEL. JOSÉ ALVES RIBEIRO;Coordenadores Técnicos;2018;Idade;25 a 30 anos;1
TRÊS LAGOAS;EE PADRE JOÃO TOMES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;trabalha no comercio;1
